name,size,complex,source,local,nearby,regional,distant
Tools~Adventuring
Alm Script~/Favor,S,4,24,36,62.2,74.6,89.6
Blanket~Travel,S,3,4.5,6.8,11.7,14,16.8
Chalk~4~Box of 20",S,4,0.1,0.2,0.3,0.3,0.4
Fire Starter (flint Rock and Steel Rod),S,1,0.6,0.9,1.6,1.9,2.2
Grapnel Hook~Four Hooks,S,2,16,24,41.5,49.8,59.7
Rations~Person~Day,S,2,2.5,3.8,6.5,7.8,9.3
Lamp~Pt. Tank,S,2,7,10.5,18.1,21.8,26.1
Lamp Oil,S,4,2,3,5.2,6.2,7.5
Lock~with key,S,4,100,150,259.2,311,373.2
Lock Picks~Set of Six,S,4,12,18,31.1,37.3,44.8
Pry Bar~15"~Pry Head and Claw Head,M,3,12,18,39.5,51.4,66.8
Sharpening Stone~3",S,1,0.8,1.2,2.1,2.5,3
Spike~12",S,2,1.3,2,3.4,4,4.9
Spyglass~With Tubes,S,6,20,30,51.8,62.2,74.6
Stake~Anti-Vampire~8",S,1,0.2,0.3,0.5,0.6,0.7
Tent~1 Person,M,2,5,7.5,16.5,21.4,27.8
Tent~2 Person,L,2,12,18,49.4,69.1,96.8
Tent~4 Person,L,2,25,37.5,102.9,144.1,201.7
Torch,S,2,0.4,0.6,1,1.2,1.5


Tools~General

Astrolabe,M,6,60,90,197.7,257,334.2
Book~Parchment W/ Leather Cover~24 Pages,S,4,30,45,77.8,93.3,112
Cage~Wire~Rabbit Trap,M,3,16,24,52.7,68.5,89.1
Fishing Pole~Cane With Line and Hook,S,2,1.2,1.8,3.1,3.7,4.5
Leash~12 Ft,S,3,1,1.5,2.6,3.1,3.7
Magnifying Glass~With Handle (3"d),S,6,12,18,31.1,37.3,44.8
Needle~Quill,T,2,0.1,0.2,0.2,0.2,0.2
Scale~Balance~3" Disks,M,3,30,45,98.9,128.5,167.1
Tack~¾",D,2,0.1,0.2,0.2,0.2,0.2

Tools~Trade

Auger,M,2,15,22.5,49.4,64.3,83.5
Axe,M,3,12,18,39.5,51.4,66.8
Bear Trap,L,3,40,60,164.6,230.5,322.7
Chisel,S,2,3,4.5,7.8,9.3,11.2
Cleaver,S,3,5,7.5,13,15.6,18.7
Hammer,S,2,5,7.5,13,15.6,18.7
Hatchet,M,2,4,6,13.2,17.1,22.3
Hoe,M,3,6,9,19.8,25.7,33.4
Mallet,S,2,2.5,3.8,6.5,7.8,9.3
Nail~3",S,3,1,1.5,2.6,3.1,3.7
Nail~Horseshoe (28),S,2,2.2,3.3,5.7,6.8,8.2
Pick~Mining,M,2,20,30,65.9,85.7,111.4
Pitch Fork,M,3,7,10.5,23.1,30,39
Scissors,S,3,8,12,20.7,24.9,29.9
Shears,M,3,9,13.5,29.7,38.6,50.1
Shovel,M,2,10,15,33,42.8,55.7
Sickle,M,3,9,13.5,29.7,38.6,50.1
Tongs,S,3,5,7.5,13,15.6,18.7
Trowel,S,2,4.5,6.8,11.7,14,16.8

Weapons~Axes

Bardiche,L,3,120,180,493.9,691.5,968.1
Battle Axe,M,2,90,135,296.6,385.6,501.2
Dane Axe,H,3,180,270,911.3,1366.9,2050.3
Handaxe,S,2,12,18,31.1,37.3,44.8
Horsemans Pick,M,4,105,157.5,346,449.8,584.8
Lochaber Axe,L,3,117,175.5,481.6,674.2,943.9

Weapons~Polearms

Ahlspiess,L,2,17,25.5,70,98,137.1
Bill,L,2,17,25.5,70,98,137.1
Glaive,L,3,35,52.5,144.1,201.7,282.4
Guisarme,L,2,22,33,90.6,126.8,177.5
Halberd,L,4,42,63,172.9,242,338.8
Lance,L,1,45,67.5,185.2,259.3,363
Lucerne,L,4,37,55.5,152.3,213.2,298.5
Military Fork,L,2,19,28.5,78.2,109.5,153.3
Planson,S,1,10,15,25.9,31.1,37.3
Pike,H,1,20,30,101.3,151.9,227.8
Ranseur,L,2,33,49.5,135.8,190.2,266.2
Short Spear,M,1,16,24,52.7,68.5,89.1
Sovnya,L,2,32,48,131.7,184.4,258.2
Voulge,L,2,27,40.5,111.1,155.6,217.8
War-scythe,L,2,16,24,65.9,92.2,129.1

Weapons~Sidearms

Bludgeon,S,1,8,12,20.7,24.9,29.9
Cinquedea,S,4,15,22.5,38.9,46.7,56
Dagger,S,3,12,18,31.1,37.3,44.8
Knife,S,2,10,15,25.9,31.1,37.3
Stiletto,S,4,17,25.5,44.1,52.9,63.5
Dusack,S,4,49,73.5,127,152.4,182.9
Katzbalger,S,4,55,82.5,142.6,171.1,205.3
Scourge,M,1,10,15,33,42.8,55.7

Weapons~Swords

Arming Sword,M,3,70,105,230.7,299.9,389.9
Court Sword,S,4,63,94.5,163.3,196,235.1
Estoc,M,4,78,117,257,334.2,434.4
Executioner's Sword,H,5,250,375,1265.6,1898.4,2847.7
Falchion,M,4,80,120,263.6,342.7,445.6
Koncerz,M,4,83,124.5,273.5,355.6,462.3
Longsword,M,3,75,112.5,247.2,321.3,417.7
Messer,M,3,68,102,224.1,291.3,378.7
Rapier,M,4,80,120,263.6,342.7,445.6
Sabre,M,3,78,117,257,334.2,434.4
Schaivona,S,4,60,90,155.5,186.6,223.9
Zweihander,L,5,130,195,535.1,749.1,1048.8

Weapons~Trauma

Bec De Corbin,L,4,75,112.5,308.7,432.2,605.1
Brass Knuckles,S,4,10,15,25.9,31.1,37.3
Club,M,1,5,7.5,16.5,21.4,27.8
Mace,M,4,48,72,158.2,205.6,267.3
Maul,L,3,35,52.5,144.1,201.7,282.4
Goedendag,L,3,24,36,98.8,138.3,193.6
Great Hammer,H,5,200,300,1012.5,1518.8,2278.1
Peasant's Flail,L,2,20,30,82.3,115.2,161.3
Quarterstaff,L,1,8,12,32.9,46.1,64.5
War Flail,M,4,50,75,164.8,214.2,278.5
War Hammer,M,4,83,124.5,273.5,355.6,462.3

Weapons~Ranged

Bellybow,L,4,175,262.5,720.3,1008.4,1411.8
Composite Bow,M,4,45,67.5,148.3,192.8,250.6
Crossbow,L,5,75,112.5,308.7,432.2,605.1
Fire Lance,L,6,52,78,214,299.6,419.5
Hakenbuchse,L,6,235,352.5,967.3,1354.2,1895.8
Handgonne,L,6,110,165,452.8,633.9,887.4
Javelin,M,1,8,12,26.4,34.3,44.6
Latchet Crossbow,M,3,50,75,164.8,214.2,278.5
Longbow,L,3,60,90,247,345.7,484
Molotov Cocktail,S,2,15,22.5,38.9,46.7,56
Sling,S,1,5,7.5,13,15.6,18.7
Throwing Axe,S,2,12,18,31.1,37.3,44.8
Throwing Knife,S,2,10,15,25.9,31.1,37.3
Warbow,L,4,255,382.5,1049.6,1469.4,2057.2

Ammunition

Arrow~Composite Bow (doz),S,1,12,18,31.1,37.3,44.8
Arrow~Longbow (doz),S,1,14.4,21.6,37.3,44.8,53.7
Arrow~Warbow (doz),S,1,16.8,25.2,43.5,52.3,62.7
Blackpowder & Bullet (per doz shot),S,6,26,39,67.4,80.9,97
Bolt~Bellybow (doz),S,1,15,22.5,38.9,46.7,56
Bolt~Crossbow (doz),S,1,12,18,31.1,37.3,44.8
Bowstring,S,3,0.5,0.8,1.3,1.6,1.9

Shields

Buckler,S,4,40,60,103.7,124.4,149.3
Clothe,S,1,*,*,*,*,*
Figure Eight,M,2,60,90,197.7,257,334.2
Heater,M,3,70,105,230.7,299.9,389.9
Hoplon,M,2,45,67.5,148.3,192.8,250.6
Kite,L,3,110,165,452.8,633.9,887.4
Pavise,L,3,135,202.5,555.7,777.9,1089.1
Round,M,2,95,142.5,313.1,407,529.1
Tower,L,3,100,150,411.6,576.2,806.7

Cord~Hemp~1/2" (60#)~50 Ft~Wt.,S,2,8,12,20.7,24.9,29.9
Fabric~Cotton (sq.yard),S,3,4,6,10.4,12.4,14.9
Rope~Cotton~1/2" (150#)~50 Ft,M,3,24,36,79.1,102.8,133.7
Rope~Cotton~1" (1200#)~50 Ft,M,2,90,135,296.6,385.6,501.2
Thread~Linen,S,2,2.5,3.8,6.5,7.8,9.3
Yarn~Cotton,S,2,8,12,20.7,24.9,29.9

Musical Instruments

Adufe,S,4,5.3,7.9,13.7,16.5,19.8
Bagpipes,M,3,94.9,142.4,312.7,406.6,528.5
Bladder Pipe,S,3,35,52.5,90.7,108.9,130.6
Citole,M,4,50,75,164.8,214.2,278.5
Crumhorn,S,2,25,37.5,64.8,77.8,93.3
Dulcimer,L,4,70,105,288.1,403.4,564.7
Fiddle,M,4,80,120,263.6,342.7,445.6
Frame Drum,S,2,3,4.5,7.8,9.3,11.2
Gittern,S,4,75,112.5,194.4,233.3,279.9
Glockenspiel,L,5,7,10.5,28.8,40.3,56.5
Guitarra,M,4,35,52.5,115.3,149.9,194.9
Harp,M,4,40,60,131.8,171.4,222.8
Hurdy-Gurdy,L,5,100,150,411.6,576.2,806.7
Lute,M,4,95,142.5,313.1,407,529.1
Mandolin,M,4,60,90,197.7,257,334.2
Naqareh,S,3,18.7,28,48.5,58.2,69.8
Oud,L,4,42.5,63.8,174.9,244.9,342.9
Psalterium,L,4,200,300,823.2,1152.5,1613.5
Rebec,M,4,42.5,63.8,140.1,182.1,236.7
Recorder,S,3,5,7.5,13,15.6,18.7
Sackbut,M,4,41.2,61.8,135.8,176.5,229.5
